# ==============================================================================
# rs_12_catalog_index.txt -- MACHINE-USABLE SPRITE-SEQUENCE INDEX FOR PACK/AFFIX
# Generated 2026-08-03 from:
#   docs/rs_MASTER_FX_CATALOG.txt        (header/summary only -- its per-section
#                                         entries are all "(pending inventory
#                                         pass)"; the data lives in the reports)
#   docs/fx_inventory_staging/inventory_fire.txt
#   docs/fx_inventory_staging/inventory_smoke.txt
#   docs/fx_inventory_staging/inventory_explosions.txt
#   docs/fx_inventory_staging/inventory_gore.txt
#   docs/fx_inventory_staging/inventory_misc.txt
#   docs/EFFECT_CATALOG.md               (in-repo RS?? descriptions; viewing
#                                         provenance unknown -- see markers)
#   sprites/combatfx/ directory listing  (ground truth for IN-REPO status,
#                                         frame counts, file naming)
#
# LINE FORMAT (one line per sequence, fields separated by " | "):
#   SEQNAME | frames | STATUS | axes | flavor words | one-phrase visual
#
#   SEQNAME  4-char sprite name. Where the same name exists in more than one
#            source folder, the name is prefixed "FOLDER/" to disambiguate
#            (e.g. SMOKE/SMOK-56). IN-REPO names (RS??/ICEY) are unprefixed.
#   frames   frame count from the source that actually counted files.
#            "(8-way rot)" = rotation set, not an animation.
#            "(colour set)" = each frame is a different tint, not a timeline.
#   STATUS   IN-REPO      = in sprites/combatfx/ right now
#            AVAILABLE    = in ART SOURCE only, not yet imported
#            AVAILABLE-DUP(x) = in ART SOURCE but duplicates in-repo sequence x
#                           (exact or visually-indistinguishable; do not import)
#   axes     PACK ingredient axes this sequence can fill, comma list from:
#              Projectile   (Bullet in-flight visual / ProjectileClass)
#              Casing       (CasingClass; also covers ejected debris)
#              Muzzleflash  (BigMuzzle)
#              BarrelSmoke  (MuzzleSmoke)
#              Puff         (ImpactPuff)
#              ImpactFX     (ImpactSparks)
#              Trail        (FancyVisual / in-flight trail)
#              ExplosionVisual (Heavy-mode slot, per rs_05 "other modes")
#            "-" = fills no PACK axis (gore-only, scenery, UI, unknown).
#            (Report "ambient"/"gore"/"debris" tags: ambient dropped, gore
#             dropped unless the report also tagged impact-fx, debris->Casing.)
#   visual   One-phrase compression of the report's VISUAL line. Markers:
#              (no marker)  = written from an actually-viewed frame
#              EC:          = only source is EFFECT_CATALOG.md (project doc;
#                             whether it was written from viewed frames is not
#                             recorded -- treat as probably-right, not proven)
#              PIXEL-DATA:  = gore report measured pixels but never saw it;
#                             geometry/palette asserted, subject matter NOT
#              UNVERIFIED   = no viewed description exists anywhere; content
#                             unknown; do NOT categorize from the name
#              NOT-FX       = catalogued but rejected (weapon art, scenery, UI)
#
# GROUP LINES: bulk-rejected sets (fatality anims, scenery, placeholders,
#   weapon pickups, monster-specific gore) are indexed as one line per group
#   with every member name enumerated in the visual field, so a grep for any
#   4-char name still hits. Format: GROUP(label) in the SEQNAME field.
#
# Sounds are out of scope (see docs/EFFECT_CATALOG.md "Sounds" for those).
# ==============================================================================


# ==============================================================================
# CATEGORY: FIRE
# ==============================================================================
RSI0 | 19 | IN-REPO | ImpactFX,ExplosionVisual | ground-burn, smoulder, low | low wide orange fire mound with dark red crown; ground burn
RSI1 | 13 | IN-REPO | Trail,Muzzleflash,ImpactFX | column, ragged, smoky | tall ragged yellow-orange flame column, smoky
RSI2 | 10 | IN-REPO | Trail,Puff | ember, tiny, cinder | tiny red-orange ember blob
RSI3 | 8 | IN-REPO | Muzzleflash,Trail,ImpactFX | vivid, blaze, flame-wall | tall bright yellow multi-tongue flame wall (was the fire affix)
RSI4 | 8 | IN-REPO | ExplosionVisual,ImpactFX | ring, hollow, blast | orange ring blast with a black hole in the centre (source: GH EXPL)
RSI5 | 26 | IN-REPO | Puff,BarrelSmoke,Trail | pale, soft, breath | pale peach/cream soft puff, near-white, very low contrast
RSI6 | 5 | IN-REPO | BarrelSmoke,Puff | scorched, soot, char | dark brown/black scorched smoke blob (EC claims RSI5+RSI6 are one split GH FRFX sequence; viewed frames read as two different effects -- see CONFLICTS)
CFCF | 16 | AVAILABLE | Muzzleflash,Trail,Projectile | taper, wick, candle, ember | small vertical candle/torch flame, whipping split tip
CFFX | 13 | AVAILABLE | Trail,ImpactFX | lash, flicker, tongue, seething | ragged upward-licking flame cluster, gappy and chaotic
F1RE | 8 | AVAILABLE | ExplosionVisual,Muzzleflash,ImpactFX | burst, flashfire, spike, detonant | compact upward fireburst, white-yellow core, jagged petals
F2RE | 8 | AVAILABLE | ExplosionVisual,Muzzleflash,ImpactFX | geyser, upshot, flare, roaring | taller leaner sibling of F1RE, core rides higher
FIR1 | 9 | AVAILABLE | Trail,Puff | cinder, ember, drift, smoulder | sparse vertical column of orange ember licks, rising cinders
FIRB | 9 | AVAILABLE | Trail,Puff | cryo, wisp, azure, spectral | blue recolour of FIR1 -- cyan ember licks, ghost fire
FIRG | 9 | AVAILABLE | Trail,Puff | toxic, verdant, blight, spore | green recolour of FIR1 -- acid-green rising embers
FIR2 | 5 | AVAILABLE | Puff | glob, smoulder, warm, dull | short blobby soft-edged orange flame mass, pops and dies
FIR3 | 16 | AVAILABLE | ImpactFX,ExplosionVisual,Muzzleflash | pop, kernel, flashpoint, sunburst | small compact fireball blast, white-hot disc with orange corona
FIR5 | 16 | AVAILABLE | ExplosionVisual,ImpactFX,Projectile | frostfire, glacial, hoarfrost, azure | large BLUE fireball, crystalline core, frost-spined fringe (cryo read)
FIR6 | 16 | AVAILABLE | ExplosionVisual,ImpactFX,Projectile | caustic, bile, virulent, plague | GREEN fireball, mottled bubbling acid mass
FLME | 14 | AVAILABLE | Muzzleflash,Trail | torch, blaze, pyre, kindled | classic torch flame, yellow heart, curling red tips, loops well
FR7X | 2 | AVAILABLE | Puff,Muzzleflash | ringlet, halo, eyelet, minor | tiny hollow red-orange donut ring, 2 frames
